"AB291075" "AB291076" "AB291077" "AM711901" "AY377151" "AY377152" "AY598542" "AY598553" "AY598564" "Ailuropoda melanoleuca" "Ailurus sp" "DQ533938" "DQ533939" "EF212882.1" "EF491163" "EF672696" "FJ236015" "FJ429093" "FJ719367" "GQ901984.1" "GU167278" "HM102305" "HM106317" "HM106318" "HM106319" "HM106320" "HM106321" "HM106322" "HM106323" "HM106324" "HM106325" "HM106326" "HM106328" "HM106329" "HM106330" "HQ705176" "HQ705180" "HQ919648" "Helarctos malayanus" "JF443239" "JF443242" "JF443243" "JF443247" "JF443248" "JF443274" "JF443294" "JF443295" "JF443296" "JF443299" "JF443309" "JF443518" "JF443523.1" "JF443546.1" "JF443548.1" "JF444305" "JF459161" "JQ600066" "Melursus sp" "NC_009677" "NC_009678" "NC_009685" "NC_009692" "NC_011125" "NC_011358" "NC_011579" "NC_012141" "Tremarctos ornatus"
"AB291075" 0 0.19930677888732 0.207407562901861 0.195133459924373 0.195133459924373 0.228004024363182 0.202741318151184 0.229069613847797 0.184734284937352 0.201122394282069 0.216245008408338 0.207407562901861 0.230891115530531 0.201122394282069 0.221158151208069 0.217235889176637 0.209846592128577 0.212250045745494 0.197875099692068 0.209878045743989 0.0619248365792101 0.228004024363182 0.234915924226 0.250769181039753 0.228714482581964 0.228365857637496 0.214430118405137 0.225465947847251 0.206949779933351 0.205192303451287 0.178302327602775 0.197875099692068 0.225245116179902 0.114571179753323 0.182397832087656 0.209768651074429 0.209768651074429 0.184734284937352 0.211740251747236 0.195133459924373 0.195133459924373 0.195133459924373 0.226544355954763 0.226544355954763 0.207299510254138 0.228714482581964 0.228714482581964 0.228714482581964 0.231246133560237 0.225465947847251 0.184734284937352 0.207205958696993 0.207474194959937 0.212293509378821 0.223308866578673 0.178785576531486 0.214430118405137 0.224239235978796 0 0.19930677888732 0.195133459924373 0.207407562901861 0.0618258541663334 0.209846592128577 0.212250045745494 0.197875099692068 0.207748748744335
"AB291076" 0.19930677888732 0 0.19330223158676 0.166726386454622 0.17134535694709 0.224380695563784 0.0562183187562635 0.182899321159002 0.190387025071318 0.205625757703703 0.237112499924707 0.19330223158676 0.21807317011991 0.205625757703703 0.226899592578763 0.217578844295255 0.210171301402685 0.0308125423711864 0.11913072555798 0.224865334565456 0.196275255943535 0.224380695563784 0.198482779079964 0.184727482870574 0.22086571700775 0.208316763008119 0.200161059250578 0.221874424652012 0.0307789433131147 0.0506729754091843 0.078786269932909 0.11913072555798 0.190348734416297 0.242686675559655 0.185714093862199 0.159876964275541 0.159876964275541 0.190387025071318 0.221770095158505 0.17134535694709 0.17134535694709 0.17134535694709 0.180600466534687 0.180600466534687 0.157614516976396 0.194826406775219 0.194826406775219 0.194826406775219 0.19246791183615 0.221874424652012 0.188045100415105 0.227036592206053 0.222383939894392 0.227359105320976 0.175987508653404 0.191941991366779 0.200161059250578 0.21961071313804 0.19930677888732 0 0.166726386454622 0.19330223158676 0.205612223049695 0.210171301402685 0.0308125423711864 0.11913072555798 0.222073772306068
"AB291077" 0.207407562901861 0.19330223158676 0 0.215789927896402 0.215789927896402 0.19957703633729 0.203829684303547 0.159614847680537 0.1865168236835 0.185208794087149 0.205907119790144 0 0.215311290581702 0.185208794087149 0.176544851120711 0.174297987015251 0.167321129628318 0.180347161456173 0.175453276007322 0.218390464427822 0.18597571068597 0.19957703633729 0.198224651258988 0.200331216336199 0.212579704200203 0.208029608487754 0.187036955798721 0.197196079457168 0.187081707089456 0.194190831590596 0.172659123760226 0.175453276007322 0.157392621800325 0.204673711293346 0.179539966296567 0.153191166779303 0.153191166779303 0.1865168236835 0.227688160158171 0.215789927896402 0.215789927896402 0.215789927896402 0.157392621800325 0.157392621800325 0.150993361042784 0.200588721856961 0.200588721856961 0.200588721856961 0.198224651258988 0.197196079457168 0.181854785245938 0.203509033658398 0.230891115530531 0.238544326171869 0.15907335074345 0.188045100415105 0.187036955798721 0.213171170071599 0.207407562901861 0.19330223158676 0.215789927896402 0 0.190387025071318 0.167321129628318 0.180347161456173 0.175453276007322 0.230542644293536
"AM711901" 0.195133459924373 0.166726386454622 0.215789927896402 0 0.00335009628490978 0.221874424652012 0.158452289217537 0.196918931191198 0.195677532966059 0.225188154949819 0.217762275881806 0.215789927896402 0.205907119790144 0.225188154949819 0.215097449624191 0.220072615050775 0.2126283088039 0.162723396081768 0.149443036466198 0.244444005147734 0.192735373792626 0.221874424652012 0.224549024885996 0.207748748744335 0.205625757703703 0.210738075246013 0.212297577428681 0.219380653896493 0.1624337815904 0.151680176663658 0.14891944539644 0.149443036466198 0.197543103142347 0.202564910034629 0.195677532966059 0.176007395384652 0.176007395384652 0.195677532966059 0.254105538241838 0.00335009628490978 0.00335009628490978 0.00335009628490978 0.194554860593225 0.194554860593225 0.178354817536755 0.213476419959691 0.213476419959691 0.213476419959691 0.211037390732974 0.219380653896493 0.198064172342388 0.231398803417654 0.23931575506414 0.234239569332131 0.227002592661966 0.189605538517083 0.212297577428681 0.267778480558868 0.195133459924373 0.166726386454622 0 0.215789927896402 0.1972171125393 0.2126283088039 0.162723396081768 0.149443036466198 0.246667165347695
"AY377151" 0.195133459924373 0.17134535694709 0.215789927896402 0.00335009628490978 0 0.226899592578763 0.163018530999173 0.201680871946826 0.200462258474134 0.230200728259508 0.222700587629762 0.215789927896402 0.210738075246013 0.230200728259508 0.220072615050775 0.220072615050775 0.2126283088039 0.167321129628318 0.153927371457578 0.244444005147734 0.192735373792626 0.226899592578763 0.229536597414406 0.212579704200203 0.210445072122587 0.210738075246013 0.217235889176637 0.224380695563784 0.1624337815904 0.156184711634841 0.15114662057113 0.153927371457578 0.202397510205828 0.19776871018891 0.200462258474134 0.180713312475825 0.180713312475825 0.200462258474134 0.254105538241838 0 0 0 0.199294232570498 0.199294232570498 0.183082985157773 0.213476419959691 0.213476419959691 0.213476419959691 0.211037390732974 0.224380695563784 0.202871901692109 0.231398803417654 0.23931575506414 0.234239569332131 0.232144026139758 0.194289413518883 0.217235889176637 0.2731985878353 0.195133459924373 0.17134535694709 0.00335009628490978 0.215789927896402 0.1972171125393 0.2126283088039 0.167321129628318 0.153927371457578 0.246667165347695
"AY377152" 0.228004024363182 0.224380695563784 0.19957703633729 0.221874424652012 0.226899592578763 0 0.208051252276411 0.209336400963185 0.208610201500575 0.210158391962309 0.180140294732553 0.19957703633729 0.185458451246484 0.210158391962309 0.199017581139901 0.206788699817842 0.201969385398958 0.220072615050775 0.215440549324471 0.254479824299235 0.222223461705047 0 0.181592094482711 0.170386392574389 0.181084431155801 0.159175160546473 0.114216056015293 0.00167224236142362 0.224736029806383 0.210502237576515 0.204980373669462 0.215440549324471 0.200161059250578 0.2126283088039 0.201398538020023 0.182123367862109 0.182123367862109 0.208610201500575 0.269654661972385 0.226899592578763 0.226899592578763 0.226899592578763 0.206944051901516 0.206944051901516 0.179803178083858 0.141570740645943 0.141570740645943 0.143712071541943 0.139438541252714 0.00167224236142362 0.199017581139901 0.24889715781271 0.251862017272262 0.251862017272262 0.223308866578673 0.227359105320976 0.114216056015293 0.24889715781271 0.228004024363182 0.224380695563784 0.221874424652012 0.19957703633729 0.221874424652012 0.201969385398958 0.220072615050775 0.215440549324471 0.247027990226955
"AY598542" 0.202741318151184 0.0562183187562635 0.203829684303547 0.158452289217537 0.163018530999173 0.208051252276411 0 0.19957703633729 0.184180370833804 0.201122394282069 0.230542644293536 0.203829684303547 0.199017581139901 0.201122394282069 0.212965296744543 0.223683409101103 0.21614557789838 0.0563998397030355 0.12400446297704 0.225188154949819 0.209412839101379 0.208051252276411 0.210738075246013 0.203790887081691 0.201680871946826 0.204373236183009 0.215789927896402 0.210502237576515 0.0563067999457472 0.0187096658036749 0.0930027993244203 0.12400446297704 0.174799643335376 0.23869469591205 0.179539966296567 0.160730197485467 0.160730197485467 0.184180370833804 0.237112499924707 0.163018530999173 0.163018530999173 0.163018530999173 0.197196079457168 0.197196079457168 0.158452289217537 0.190387025071318 0.190387025071318 0.190387025071318 0.188045100415105 0.210502237576515 0.181854785245938 0.229865376232748 0.242956522088212 0.242956522088212 0.181505096273217 0.183393904083948 0.215789927896402 0.2199147990741 0.202741318151184 0.0562183187562635 0.158452289217537 0.203829684303547 0.219013763157758 0.21614557789838 0.0563998397030355 0.12400446297704 0.2199147990741
"AY598553" 0.229069613847797 0.182899321159002 0.159614847680537 0.196918931191198 0.201680871946826 0.209336400963185 0.19957703633729 0 0.217762275881806 0.22672063064986 0.236108736917886 0.159614847680537 0.222788483429846 0.22672063064986 0.203185033817296 0.210502237576515 0.203185033817296 0.183393904083948 0.176262789760773 0.258987590734889 0.222223461705047 0.209336400963185 0.227991651641437 0.220349454203129 0.222518053089504 0.223935978309316 0.212013688046714 0.206944051901516 0.18778403683435 0.18778403683435 0.199017581139901 0.176262789760773 0.214760636596709 0.212579704200203 0.215311290581702 0.188045100415105 0.188045100415105 0.217762275881806 0.242741255516616 0.201680871946826 0.201680871946826 0.201680871946826 0.00167224236142362 0.00167224236142362 0.185714093862199 0.20431318552712 0.20431318552712 0.20431318552712 0.206688486906419 0.206944051901516 0.217762275881806 0.245625721060166 0.266966483454194 0.264292680290897 0.210839392405047 0.215616162718695 0.212013688046714 0.235473087979793 0.229069613847797 0.182899321159002 0.196918931191198 0.159614847680537 0.231975778310772 0.203185033817296 0.183393904083948 0.176262789760773 0.247523263376835
"AY598564" 0.184734284937352 0.190387025071318 0.1865168236835 0.195677532966059 0.200462258474134 0.208610201500575 0.184180370833804 0.217762275881806 0 0.2199147990741 0.235473087979793 0.1865168236835 0.21961071313804 0.2199147990741 0.19776871018891 0.184734284937352 0.177757427550419 0.184454374415015 0.170386392574389 0.236436629412024 0.17723581475347 0.208610201500575 0.22672063064986 0.232049165515742 0.217457791672886 0.21961071313804 0.220542310940201 0.206194737865743 0.184180370833804 0.193592413456621 0.174454463612393 0.170386392574389 0.189440202028525 0.204078958078573 0.00841770723193134 0.198064172342388 0.198064172342388 0 0.223349100554805 0.200462258474134 0.200462258474134 0.200462258474134 0.215311290581702 0.215311290581702 0.195677532966059 0.184727482870574 0.184727482870574 0.184727482870574 0.182428628246259 0.206194737865743 0.00672279035467555 0.221770095158505 0.226411230889244 0.226411230889244 0.223308866578673 0.198064172342388 0.220542310940201 0.233589839902907 0.184734284937352 0.190387025071318 0.195677532966059 0.1865168236835 0.190938160988787 0.177757427550419 0.184454374415015 0.170386392574389 0.193054070615567
"Ailuropoda melanoleuca" 0.201122394282069 0.205625757703703 0.185208794087149 0.225188154949819 0.230200728259508 0.210158391962309 0.201122394282069 0.22672063064986 0.2199147990741 0 0.207474194959937 0.185208794087149 0.221770095158505 0 0.21501279902579 0.206488601296547 0.199294232570498 0.198482779079964 0.203509033658398 0.21203250673139 0.191688152129878 0.210158391962309 0.235787552932507 0.221182255343045 0.214155715382069 0.21931308775729 0.211212582376702 0.212579704200203 0.200588721856961 0.196383022304797 0.172931902864935 0.203509033658398 0.208909913534441 0.209878045743989 0.217457791672886 0.203790887081691 0.203790887081691 0.2199147990741 0.226482962147925 0.230200728259508 0.230200728259508 0.230200728259508 0.224239235978796 0.224239235978796 0.201398538020023 0.204069603752963 0.204069603752963 0.204069603752963 0.206439276434912 0.212579704200203 0.2199147990741 0.184804162352147 0.207032465064099 0.197179929524433 0.214105903577061 0.222073772306068 0.211212582376702 0.17539211972933 0.201122394282069 0.205625757703703 0.225188154949819 0.185208794087149 0.200852451761912 0.199294232570498 0.198482779079964 0.203509033658398 0.156574391080465
